Name of Agency,Name of Contact,Contact Email,Contact URL,Special Instructions,Tags,Bio
Vermont Attorney General's Office,NA,ago.info@vermont.gov.,https://ago.vermont.gov/submit-public-records-request/,NA,"[attorney, prosecution, legal, ]","Our mission is to implement and enforce Vermont’s laws to improve the quality of life for all Vermonters. Whether this means enforcing our criminal laws to keep our cities, towns and homes safe, or vigorously pursuing those who would foul our air, land and water, it is the job of this office to bring the legal resources of the State to bear in a professional, cost-effective and thoughtful manner to protect our citizens.

First established by the Vermont Legislature in 1790, the Office of Attorney General has evolved from its one-person operation shortly after the turn of the 20th century to its current status as the State’s largest law firm. We act as legal counsel to all state agencies and to the Legislature. Our staff handles civil and criminal cases in all courts of the state on both the trial and appellate levels. We both defend the state when it is sued and file our own suits to enforce Vermont’s criminal, environmental, consumer protection, civil rights and countless other laws."
Vermont State Auditor,NA,auditor@vermont.gov,https://auditor.vermont.gov/content/public-records,NA,"[auditor, tax, budget,]","First, what our office does.

There are three major types of audits for which we are responsible.

Performance audits, the State’s financial statement audit (ACFR) and the State’s single audit (which looks at the usage of federal funds by the state). All of these audits focus on the accountability of the State to its citizens, from both a financial and service delivery perspective. I’m particularly proud that we’ve successfully implemented performance auditing in our office because these audits provide valuable insight into whether government programs and operations are working effectively and efficiently and provide recommendations for improvements. I invite you to email suggestions for future performance audits.

How we perform our audits.

We perform our audits in accordance with generally accepted government auditing standards, which are promulgated by the U.S. Government Accountability Office. Implementation of these standards ensures that our audit work and products are of the highest quality and uphold the principles of independence, objectivity, competence, and integrity. If you are interested in the nuts and bolts of how we perform our work, I invite you to peruse our Professional Standards Manual. Of course, the most important element in ensuring that our audits are conducted in a quality manner is our staff. Currently, we are an office of 15, which includes ten staff auditors, many of whom have achieved prestigious certifications, such as Certified Public Accountant (CPA), and advanced academic degrees.

The results of our work.

A quick synopsis can be found in our annual performance report. The most visible results are in the implementation of our recommendations. As you'll see in our annual performance report, the most recent follow-up work on our recommendations showed that more than two-thirds had been implemented. As a result, the state has saved money, employed additional safeguards against fraud, waste and abuse, and improved its processes and procedures.

If you have any questions or concerns to bring to my attention, please feel free to call or write me at any time."
Office of Governor Phil Scott,Karen Pallas,Karen.Pallas@vermont.gov,https://governor.vermont.gov/contact/public-records-requests-and-statewide-database,NA,"[phil, scott, governor, ]","Governor Phil Scott became the 82nd Governor of Vermont on January 5, 2017. He previously served three terms as Vermont’s Lieutenant Governor, and as a Senator for Washington County. As Governor, he has committed to making a difference in the lives of Vermonters by growing the state’s economy, making Vermont more affordable, protecting the most vulnerable and restoring faith and trust in government."
Buildings and General Services: AOA,Gregg Harris,gregg.harris@vermont.gov,https://bgs.vermont.gov/content/public-records-requests,NA,"[buildings, offices, services,]","The Department of Buildings and General Services exists primarily to provide the facilities and services required for all state agencies and departments to accomplish their missions. Building construction and renovation, buildings and grounds maintenance and custodial services as well as the security of state facilities constitute some of the most significant aspects of the BGS mission. Over 334 employees are dedicated to providing safe and healthy working environments in over 4 million square feet of office, customer service areas, information centers, courtrooms, correctional facilities, and storage space. In addition, BGS provides postal, print and copying services, manages the state’s fleet vehicle inventory and oversees all of the state’s purchasing, contracting, and surplus property requirements.

We strive to be a friendly and responsive organization and the measure of our success is directly proportional to the success of the people we serve— those who serve Vermont."
State of Vermont Chief Marketing Office ,John Kessler,John.Kessler@vermont.gov,NA,NA,"[marketing, ads, advertising, publicity]","The Chief Marketing Office serves as the central authority for state marketing activity and the “steward of the Vermont brand.” We support marketing and outreach activities within individual state agencies and departments by providing strategic expertise and tactical support. If you’re a state employee new to marketing, or new to state government, and you have marketing responsibility, we can help.  So let’s get started!"
State of Vermont Chief Technology Office,NA,ads.enterprisearchitecture@vermont.gov,NA,NA,"[technology, tech, IT, information,]","The Agency of Digital Services is the successor organization to the former Department of Information and Innovation (DII).  The agency officially came into existence on April 17, 2017 by Executive Order 06-17, issued by Governor Phil Scott on January 15, 2017.  The executive order elevated the Chief Information Officer to a cabinet level post charging the Agency of Digital Services to join with its partners in state government to achieve the overall objective of improving the coordination and effectiveness of providing services to the public.

The Agency of Digital Services is organized into six divisions and the seven IT Directors embedded with our partners in state government:

Security Division lead by the Chief Information Security Officer (CISO)
Enterprise Architecture Division lead by the Chief Technology Officer (CTO)
Data Management Division lead by the Chief Data Officer (CDO)
Finance Division led by the Chief Financial Officer (CFO)
Enterprise Project Management Division lead by the Director of Enterprise Project Management (EPMO)
Shared Services Division lead by the Director of Shared Services (DSS)
Seven IT Directors embedded within our partner agency organizations, each responsible for the day-to-day management of partner IT projects and initiatives."
Vermont Department for Children and Families,Luciana DiRuocco, luciana.diruocco@vermont.gov,https://dcf.vermont.gov/public-records,NA,"[families, children, son, daughter, kid, kids, child support, divorce,]","CHILD DEVELOPMENT
CHILD TRAUMA
DOMESTIC VIOLENCE
EARLY CHILDHOOD
ECONOMIC HELP
EDUCATION
HEALTH/MENTAL HEALTH
LEGAL
LGBTQ
PARENTING
PREGNANCY
VT ADOPTION REGISTRY"
Vermont Agency of Commerce and Community Development,John Kessler,John.Kessler@vermont.gov,NA,NA,"[housing, development, zoning, tourism, community, historical preservation, history, local history, past, old buildings, ]","At DHCD and DED, we work to grow our economy, help businesses create jobs, and support vibrant and resilient communities. Our staff provides training, technical and financial assistance designed to enhance local community and economic development programs and practices.

Our economic development staff can help you learn more about our strong workforce, walk you through the permitting process, connect you with local networks and share more about our programs, and capital and investment opportunities. The Vermont Economic Progress Council is an arm of the department.

Our housing program focuses on developing housing policy and overseeing the Mobile Home Park Program. The Vermont Community Development Program helps municipalities provide housing, jobs, public services and facilities to their residents. Promoting and preserving our historic resources are the focus of our historic preservation program and our state-owned historic sites.

We are the state’s central office for local and regional land use, including our smart growth designations, designed to enhance our unique landscape of compact centers surrounded by working landscapes. DHCD & DED also fund and support regional development efforts through the Regional Planning Commissions, Regional Development Corporations and through other partners."
Vermont Department of Corrections,Laura Carter,Laura.Carter@vermont.gov,NA,NA,"[prisons, corrections, jails, prisoner, cells,]","Vision
To be valued by the citizens of Vermont as a partner in prevention, research, management, and intervention of criminal behavior.

Mission
In partnership with the community, we support safe communities by providing leadership in crime prevention, repairing the harm done, addressing the needs of crime victims, ensuring offender accountability for criminal acts, and managing the risk posed by offenders.

Values
Responsibility, Commitment, Integrity, Judgment, Creativity, Enthusiasm, Compassion"
Vermont Center for Crime Victim Services,NA,NA,http://www.ccvs.vermont.gov/,NA,"[crime, victim, ]","The Vermont Center for Crime Victim Services administers the Victims Compensation Program, the Restitution Unit, and the Victim Assistance Program, as well as several state and federal grant programs for direct service to all crime victims. The Center works with both businesses and individuals, regardless of the type of crime, and provides specialized services for eligible victims. The Center serves as a voice within government for the needs of crime victims in Vermont. The Vermont Center for Crime Victim Services serves the state by: 1. Providing direct services to victims of crime; 2. Organizing and providing training for volunteers, community members, advocates, allied professions and others on issues related to working with crime victims; and 3. Soliciting and issuing grants for community and statewide programs working with crime victims."
Vermont Office of Defender General,Lora Evans ,Lora.Evans@vermont.gov,https://defgen.vermont.gov/content/public-records,NA,"[public defender, advocacy, representation, court, lawsuit, crime,]","n 1972, the Office of the Defender General began providing constitutionally required representation to needy persons charged with serious crimes. The Office is also statutorily required to provide counsel to children who are the subject of juvenile proceedings as alleged delinquents; to parties in juvenile proceedings including children in need of care and supervision (CHINS) as required by the interests of justice; to children in the custody of the Commissioner of the Department for Children and Families; to persons in the custody of the Commissioner of Corrections; and, to needy persons in extradition, or probation or parole revocation proceedings.

Since 1972, the Office of the Defender General has evolved into a complex service delivery system consisting of two separate programs, Public Defense and Assigned Counsel. We have seven county staff offices with 35 attorneys and a variety of support staff, including investigators, secretaries, case managers and case aides.  In addition, the Office manages over 100 contractors under both programs, and more than 100 ad hoc counsel handling conflict cases.  In total, the Office handles approximately 20,000 cases each year.

"
Vermont Agency of Digital Services,Lisa Goslant,Lisa.Goslant@vermont.gov,https://digitalservices.vermont.gov/about-us/public-records-requests-and-statewide-database,NA,"[technology infrastructure, technology, cybersecurity, eGovernment, open data,]","The Agency of Digital Services is the successor organization to the former Department of Information and Innovation (DII).  The agency officially came into existence on April 17, 2017 by Executive Order 06-17, issued by Governor Phil Scott on January 15, 2017.  The executive order elevated the Chief Information Officer to a cabinet level post charging the Agency of Digital Services to join with its partners in state government to achieve the overall objective of improving the coordination and effectiveness of providing services to the public.

The Agency of Digital Services is organized into six divisions and the seven IT Directors embedded with our partners in state government:

Security Division lead by the Chief Information Security Officer (CISO)
Enterprise Architecture Division lead by the Chief Technology Officer (CTO)
Data Management Division lead by the Chief Data Officer (CDO)
Finance Division led by the Chief Financial Officer (CFO)
Enterprise Project Management Division lead by the Director of Enterprise Project Management (EPMO)
Shared Services Division lead by the Director of Shared Services (DSS)
Seven IT Directors embedded within our partner agency organizations, each responsible for the day-to-day management of partner IT projects and initiatives."
Vermont Economic Development Authority,NA,NA,https://www.veda.org/about-veda/staff-directory/,NA,"[business loan, investment, financial assistance, stimulus, financing,]","The Vermont Economic Development Authority (VEDA)
is Vermont’s statewide economic development finance lender. Created by the General Assembly in 1974, VEDA’s mission is “to contribute to Vermont’s economic vitality by providing a broad array of financing programs to eligible businesses that create jobs and help advance Vermont’s public policy goals.”

Since 1974, VEDA has provided over $2.5 billion in financing assistance to thousands of eligible Vermont entrepreneurs, manufacturers, small businesses, and agricultural enterprises, helping them realize their business goals, create jobs, and enhance the vitality of Vermont’s economy. In collaboration with Vermont financial institutions and other partners throughout the state, VEDA's diverse loan programs help businesses and farmers grow, prosper and create a more vibrant economy for all Vermonters."
Vermont Agency of Education,Judy Cutler,Judy.Cutler@vermont.gov,NA,NA,"[education, students, teachers, class, learning, instruction,]","The Agency of Education implements state and federal laws, policies, and regulations to ensure all Vermont learners have equitable access to high-quality learning opportunities. The Agency accomplishes this mission through the provision of its leadership, support, and oversight of Vermont’s public education system."
Governor's Committee on the Employment of People with Disabilities,Rose Lucenti,rose.lucenti@vermont.gov,NA,NA,"[disability employment, jobs, special needs adults, ]","The mission of the Governor's Committee on Employment of People with Disabilities is to promote equal employment for all citizens of Vermont by advising the Governor on current issues affecting employment of people with disabilities, and through partnerships between business, government and people with disabilities.

On December 8, 2009, as part of our strategic planning process, the following vision was adopted by the Committee:

""Barrier Free Employment for ALL Vermonters""

"
Vermont Enhanced 911,Soni Johnson,E911.PublicRecordsRequest@vermont.gov,NA,NA,"[enhanced 911, CARE, ECS, Text-to-911,]","The board shall consist of nine members: one county law enforcement officer elected by the membership of the Vermont state sheriff’s association; one municipal law enforcement officer elected by the chiefs of police association of Vermont; one official of a municipality not currently receiving 911 service; a firefighter; an emergency medical services provider; a department of public safety representative; and three members of the public. Board members shall be appointed by the governor to three-year terms, except that the governor shall stagger initial appointments so that the terms of no more than four members expire during a calendar year. In appointing board members, the governor shall give due consideration to the different geographical regions of the state, and the need for balance between rural and urban areas. Board members shall serve at the pleasure of the governor."
Vermont Natural Resources Board,Alexandra Pastor,NRB.General@vermont.gov,NA,NA,"[streams, lakes, water, pollution, restrictions, protections, natural resources, land,]","The Natural Resources Board (NRB) is an independent entity in the Executive Branch of Vermont State government. The primary function of the Board is to administer Act 250 (10 V.S.A. Chapter 151), Vermont’s Land Use and Development Law, enacted in 1970  to regulate certain types of development and subdivision in Vermont. Land Use Permits are issued by nine District Environmental Commissions, supported by full-time staff located in five district offices. The NRB is served by a total of 24 full-time employees and approximately 70 citizen volunteer Commissioners and Board members. For a complete listing of our staff in alphabetical order by last name, click here.

In addition to administering the Act 250 program in the district offices , the NRB issues rules and policies related to Act 250, and provides training and legal assistance to District Commissions and staff. The NRB is responsible for enforcement of Act 250, and may participate as a party in appeals from Act 250 decisions to the Superior Court, Environmental Division. In July 2016, the NRB assumed a new statutory function: hearing appeals of energy compliance determinations made by the Commissioner of the Department of Public Service.

This website provides information about the Act 250 program, District Commission cases, and any pending Act 250 rules. The Superior Court, Environmental Division website provides information on Act 250 appeals and other environmental and land use appeals. 

Please Note the Following Changes

Effective July 1, 2013, the Land Use Panel and the Water Resources Panel were eliminated. The functions of the former Land Use Panel were transferred to the Natural Resources Board effective July 1, 2013. The rulemaking and policy functions of the former Water Resources Panel were transferred to the Agency of Natural Resources in 2012. Information formerly available on the Water Resources Panel website are available on the ANR Watershed Management Division website. "
Vermont Department of Environmental Conservation,Marcella Dent,Marcella.Dent@vermont.gov,https://anr.vermont.gov/public-records#dec,NA,"[conservation, nature, land, protections, ]","While the DEC issues most of the state’s environmental permits, the Department does more than just set forth regulations and assure compliance. Through its programs, the DECView from Lowell Mountains

manages water and air quality
regulates solid and hazardous wastes
administers a number of voluntary pollution and waste reduction programs
Among other responsibilities, Department staff members

collect data
conduct research
run volunteer programs
develop educational and outreach materials and programs
administer grants
work with conservation organizations and state and federal agencies to examine critical environmental issues"
Vermont Department of Finance and Management,Joe Harris,joe.harris@vermont.gov,NA,NA,"[finances, budgeting, itemized, audit, state funds, funds, ]","We strive to provide State agencies, employees, citizens, vendors and other stakeholders with fiscal leadership and quality financial systems, processes and information.  This includes maintaining the State’s central accounting (VISION) and budgeting (VANTAGE) systems, providing technical assistance while ensuring compliance with applicable laws and regulations,  developing and advocating for fiscally responsible budgets, producing the State’s official financial statements and maintaining the State’s financial transparency website (SPOTLIGHT). Thank you for visiting!                                                                                                                                                                                                                                                                                                                                                                       

Mission Statement
The Department of Finance and Management is dedicated to the effective and efficient execution of the State’s fiscal responsibilities. We are committed to serving Vermont’s citizens and our peers by:
Establishing and maintaining centralized accounting functions that incorporate appropriate internal controls and generate reliable financial information that is in accord with established accounting principles; and
Developing, maintaining, and advocating for fiscally responsible and sustainable budgets and related management recommendations for the Secretary of Administration and the Governor.
Finance and Management Strategic Plan

About Us
In addition to the Commissioner's Office, the Department of Finance and Management consists of three divisions: Budget and Management, Financial Operations and Customer Support & Change Management. 
 
Budget and Management assists in the development of the Governor’s recommended budget, monitors and defends the passage of the budget through the legislature, and manages the adopted budget throughout the fiscal year.
 
Financial Operations maintains and operates the State’s centralized accounting system, VISION. They also provide related controls and services for managers and employees of State government, and generate reliable financial information that is in accordance with Generally Accepted Accounting Principles (GAAP). This effort culminates in the publication of the State’s Comprehensive Annual Financial Report. Additional responsibilities of Financial Operations include cooperation with the State Treasurer in projecting and monitoring cash flow of State government.
 
Customer Support & Change Management supports users of the VISION system by providing training classes and material, answering questions about VISION and facilitating the resolution of any technical issues. All questions related to modifying VISION or requests for added functionality, such as adding new modules to support your business, should be directed to VISION Support."
Vermont Department of Financial Regulation,Stephanie Brackin ,stephanie.brackin@vermont.gov,https://dfr.vermont.gov/about-us/public-information,NA,"[financial regulation,]","""The Department of Financial Regulation (DFR) is a state agency that protects consumers while ensuring industry partners operate in a responsible manner.

Consumers, identified as anyone from the public using the services of a financial institution, investment firm, or insurance company, can find information on our website to help secure their financial well-being.

Industry partners in the fields of banking, insurance, securities, and captive insurance can find information on our website about conducting businesses in Vermont."""
Vermont Fish & Wildlife Department,Will Duane,Will.Duane@vermont.gov,https://anr.vermont.gov/public-records,NA,"[hunting, fishing, wildlife, animals, game warden,]","The department's mission is ""the conservation of fish, wildlife and plants and their habitats for the people of Vermont."" Other challenges include providing quality fish and wildlife-based recreation and reaching Vermonters with the best possible information about these resources.

The Vermont Fish & Wildlife Department is one of three departments in the Agency of Natural Resources. Our $20 million (annual budget) is funded by three major sources: user-based fees such as licenses, excise taxes on gasoline and on hunting and fishing equipment, and state general funds.

As a department within the Agency of Natural Resources, we adhere to the nondiscrimination policy established by the agency."
"Vermont Department of Forests, Parks & Recreation",Niels Rinehart,Niels.Rinehart@vermont.gov,https://fpr.vermont.gov/contact_us,NA,"[parks, forests, public land, green space, recreation, ]","Vermonters cherish the diversity our state has to offer: dramatic landscapes featuring our scenic mountains, lakes, and rivers; our wildlife heritage; and our strong rural identity, outdoor lifestyle, and historical traditions. Products from forests and farms enjoy global renown, as do our outdoor recreation opportunities, which are extremely popular and cater to individuals of all ages and skill levels. Thus it is not surprising that Vermont is one of the most desirable states to visit, live in, and conduct business.

Our forestland, natural resources, and outdoor recreation are a significant part of our identity. Forests comprise 78% of our landscape, providing habitat for many species of flora and fauna. Our forests, in fact, are a valuable, renewable, and thus sustainable resource, supporting an array of products, jobs, and recreational activities. Tourism and recreation, ever-more significant components of Vermont’s economy, are also directly dependent on our natural resources.

First Commissioner Perry MerrillVermont’s future, of course, will not only be shaped by in-state activities, but also by forces well beyond state lines: international markets, competing regional and national interests, climate change, diverse economies, and human demand for natural resources. In our state, where land is largely under private ownership and control, we—public and private sectors alike—must continue to work in partnership and engage in cooperative action to identify and work with these external forces for our collective, mutual benefit so that we create the Vermont we collectively want. We must also manage our natural resources within and not beyond our land’s natural capacity to produce them.

For our part, the Department of Forests, Parks and Recreation has a distinct role to play in the resources and opportunities within our purview."
Vermont Center for Geographic Information,Lisa Goslant,Lisa.Goslant@vermont.gov,NA,NA,"[GIS, geographical data, mapping,]","The Vermont Center for Geographic Information (VCGI), a division of the State of Vermont's Agency of Digital Services (ADS), provides high quality geospatial data, services, and geographic information system (GIS) infrastructure for public use in ways that are consistent with our enabling legislation.

What does VCGI do?
VCGI oversees the coordination, procurement, processing, storage, and distribution of free and public digital Vermont GIS data. We steward the Vermont Open Geodata Portal, where anyone can download or stream the geospatial data published there. VCGI also oversees three statewide spatial data programs: the Vermont parcels program, imagery program, and lidar program. VCGI is available to answer your questions and help you understand the many uses of these spatial datasets.

VCGI also does the following:
VCGI provides the following services on a case by case basis:

Develops and hosts interactive map applications to increase the public's access to mappable information
Coordinates statewide GIS efforts through the Enterprise GIS Consortium
Develops and assists in the development of essential statewide databases
Develops data standards, guidelines, and procedures
Request for Proposals (RFP) development
Project Scoping/Refinement
Performs outreach and training to current and potential GIS users
History
Act 204 (10 VSA Chapter 8) established the Vermont Center for Geographic Information, Inc (VCGI) in 1994. After operating as a non-profit, in 2014 the VT Legislature passed a bill that made VCGI a division of state government. The goal of this change is to provide a higher level of stability and sustainability for the organization in supporting its services, which include the development and implementation of a comprehensive strategy for the Vermont Geographic Information System (VGIS). Further, VCGI is charged with ensuring that all data gathered by state agencies that is relevant to the VGIS shall be in a form that is compatible with, useful to, and shared with that geographic information system. More detail regarding the historical and legal basis of VCGI can be found here, here, and here."
Green Mountain Care Board,Abigail Connolly,GMCB.RecordsRequest@vermont.gov,NA,NA,"[hospitals, hospital administration,oversight]","The Green Mountain Care Board’s mission is to improve the health of Vermonters through a high-quality, accessible, affordable, and sustainable health care system.

GMCB Overview
The Role of the GMCB
GMCB is an independent five-member Board whose members are appointed by the Governor for six-year terms. The Board was created by the Vermont Legislature in 2011 through Act 48, Vermont’s landmark health reform legislation. Per statute (18 V.S.A. § 9372), the Board’s purpose is “to promote the general good of the State by:

improving the health of the population;
reducing the per-capita rate of growth in expenditures for health services in Vermont across all payers while ensuring that access to care and quality of care are not compromised;
enhancing the patient and health care professional experience of care;
recruiting and retaining high-quality health care professionals; and
achieving administrative simplification in health care financing and delivery. (Added 2011, No. 48, § 3, eff. May 26, 2011.)
The Board has 6 major regulatory duties:

Review and establish community hospital budgets.
Review and approve, modify, or disapprove requests for health insurance premium rates in the large, small, and individual insurance markets plans; in addition, the Board reviews and approves the benefit package or packages for qualified health benefit plans.
Review and approve, approve with conditions, or deny applications for certificates of need.
Oversee the Vermont All-Payer Accountable Care Organization Model (APM), including setting financial targets for Vermont Medicare ACOs and limit cost growth for certain health care services; ensuring reasonable alignment across Vermont ACO programs; working with other APM Agreement signatories to achieve targets for the number of aligned Vermonters; and working with other Agreement signatories to achieve targets on twenty quality measures tied to three population health goals.
Regulate Accountable Care Organizations (ACOs), including certifying ACOs to allow them to receive payments from Medicaid and commercial insurers, and reviewing and approving ACO budgets.
A variety of duties related to data, analytics, and evaluation, including maintaining Vermont’s all-payer claims database, the Vermont Health Care Uniform Reporting and Evaluation System (VHCURES), and hospital discharge database, the Vermont Uniform Hospital Discharge Data Set (VUHDDS); performing an annual Health Care Expenditure Analysis and annual estimate of future health care spending; and evaluating systemwide performance and quality.
The GMCB also has responsibility for developing a Health Resource Allocation Plan, approving the state’s health care workforce plan and its health information technology plan, and oversight of Vermont Information Technology Leaders, the organization that operates Vermont’s statewide clinical health information exchange. In addition, the Board is tasked to “oversee the development and implementation, and evaluate the effectiveness, of health care payment and delivery system reforms designed to control the rate of growth in health care costs; promote seamless care, administration, and service delivery; and maintain health care quality in Vermont.” (18 V.S.A. § 9375(b)(1))

Throughout all of the Board's work, the Board consistently works closely with Vermont health care providers and health care consumers to enhance health system transparency and consumer involvement."
Department of Vermont Healthcare Access,Kelly Provost,AHS.DVHALegal@Vermont.gov,NA,NA,"[rural hospitals, healthcare access, state health insurance, medicaid provider]","When we say our mission is ""to improve the health and well-being of Vermonters by providing access to quality healthcare cost effectively,"" we are really saying that we are striving to do multiple things. First, we are saying what we're trying to do: to improve the health and well-being of Vermonters. Second, we're saying how we're trying to do it: by providing access to quality healthcare. But that's not all. We’re committing to do so cost-effectively. In other words, we are conscious that we are accountable to both our members and to taxpayers.

To achieve this mission, our work revolves around three core responsibilities:

1) We engage Vermonters in need to enroll as members in appropriate programs. This work is represented by the ""Vermonters"" path in the diagram above.

2) We pay for their care. This work of building, and collaborating with, a robust network of health care providers, pharmacies, and other partners is represented in the ""Providers"" path above.

3) We recognize that simply signing up thousands of people and paying thousands of invoices will not achieve optimal outcomes at the most efficient cost, so we strategically invest in programs that promote health. This work is central to our commitment to quality and improvement.

Our Priorities
Our commitment to continual improvement is not limited to external health outcomes. When we look for opportunities to improve internally – in the way we carry out our responsibilities – three priorities emerge: adoption of value-based payments, management of information technology projects, and operational performance improvement. If we successfully execute these priorities, we will be well positioned to deliver on the triple aim of improving patient experience of care, improving population health, and reducing per capita cost growth.

Our department is comprised of 20 functional units, every one of which works on one or more of our responsibilities and contributes to one or more of our priorities.

Our Values
Our department commits to executing our responsibilities and priorities while adhering to three core values:

1) Transparency – We trust that we will achieve our collective goals most efficiently if we communicate the good, the bad, and the ugly with our partners and stakeholders.

2) Integrity – In the words of psychologist Brené Brown, we commit to ""choosing courage over comfort…. choosing what is right over what is fun, fast, or easy…. choosing to practice [our] values rather than simply professing them.""

3) Service – Everything we do is funded by taxpayers to serve Vermonters. Therefore, we must ensure that our processes and policies are person-centered. We aim to model, drive, and support the integration of person-centered principles throughout our organizational culture.

These values guide our pursuit of the above responsibilities, priorities, and mission. We are committed to innovation and collaboration. We are not tied to any one way of carrying out our charges. We approach opportunities to manage Medicaid costs differently with an open mind and a commitment to do right by Medicaid members and Vermont taxpayers. We recognize that the success of our initiatives is dependent on strong working relationships with other state agencies, federal and local governments, and community partners."
