Name of Agency,Name of Contact,Contact Email,Contact URL,Special Instructions,Tags
Vermont Agency of Human Services,Diane Nealy, Diane.Nealy@vermont.gov,https://humanservices.vermont.gov/public-records-research,NA,"[human services, mental health,]"
Vermont Judiciary,NA,NA,https://www.vermontjudiciary.org/about-vermont-judiciary/data-and-information-requests,NA,"[supreme court, justices, court, trials, criminal, felony, misdemeanor]"
Vermont Labor Relations Board,Judith Dillon,judith.dillon@vermont.gov,NA,NA,"[unions, collective bargianing, units, labor, union elections, unfair practices,]"
Vermont Department of Libraries,Thomas McMurdo,Thomas.McMurdo@vermont.gov,NA,NA,"[libraries, librarian, book, books, ]"
Office of Lieutenant Governor Molly Gray,NA,NA,Links to Agency of Administration,NA,"[molly gray, lieutenant governor, ]"
Vermont Department of Liqour and Lottery,Liqour: Wendy Knight; Lottery: Brian McLaughlin,Liquour: wendy.knight@vermont.gov; Lottery: Brian.mclaughlin@vermont.gov,,Separate contacts for liqour and lottery,"[liqour, lottery, booze, gambling,]"
Vermont Millitary Property and Installations Office,NA,NA,http://www.mil.state.vt.us/content/employee_contact%20list.html,NA,"[millitary land, property, items, fatigues,]"
Vermont Department of Motor Vehicles,NA,NA,https://dmv.vermont.gov/about-vermont-dmv/public-records,NA,"[dmv, cars, car registration, drivers license, id, drivers test,]"
Vermont Bond Bank,NA,NA,https://www.vtbondbank.org/public-notices-reports,NA,"[bonds, loans, banking]"
Vermont National Guard,NA,NA,https://www.nationalguard.mil/Resources/FOIA/,Must FOIA Federal Agency,"[national guard, army, emergency,]"
Vermont Agency of Natural Resources,Marcella Dent,Marcella.Dent@vermont.gov,https://anr.vermont.gov/public-records#dec,NA,"[natural resources,]"
Vermont Council on Physical Fitness and Sports,NA,NA,NA,Links to Governor's Office ,"[sports, athletics, fitness, health]"
Vermont State Police,NA,NA,https://vsp.vermont.gov/public,NA,"[staties, state police, crime, safety, highways,]"
Vermont Department of Publci Service,Carol Flint,carol.flint@vermont.gov,https://publicservice.vermont.gov/content/public-records,NA,"[public service, community service, community broadband, LECAP, utility bills,]"
Vermont Public Utility Comission,Holly Anderson,puc.clerk@vermont.gov,https://puc.vermont.gov/about-us/public-records-requests,NA,"[utilities, gas, electric, water, sewer,]"
